District,City,Latitude,Longitude,Price,Land_Size_M2,Building_Size_M2,Floors,Bedrooms,Bathrooms,Carport/Garage
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,656000000.0,76.0,36.0,1.0,2.0,1.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,450000000.0,224.0,100.0,1.0,2.0,1.0,1.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,656000000.0,76.0,36.0,1.0,2.0,1.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,450000000.0,224.0,100.0,1.0,2.0,1.0,1.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,656000000.0,76.0,36.0,1.0,2.0,1.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,656000000.0,76.0,36.0,1.0,2.0,1.0,0.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,545000000.0,83.0,36.0,1.0,2.0,1.0,0.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,545000000.0,83.0,36.0,1.0,2.0,1.0,0.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,545000000.0,83.0,36.0,1.0,2.0,1.0,0.0
Bogor Barat,Kota Bogor,-6.563991,106.7633625,775000000.0,96.0,54.0,1.0,2.0,1.0,1.0
Bogor Barat,Kota Bogor,-6.563991,106.7633625,775000000.0,96.0,54.0,1.0,2.0,1.0,1.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,656000000.0,76.0,36.0,1.0,2.0,1.0,0.0
Ranca Bungur,Kabupaten Bogor,-6.5379916,106.7312575,590000000.0,102.0,33.0,1.0,2.0,1.0,1.0
Ranca Bungur,Kabupaten Bogor,-6.5379916,106.7312575,590000000.0,102.0,33.0,1.0,2.0,1.0,1.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,656000000.0,76.0,36.0,1.0,2.0,1.0,0.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,656000000.0,76.0,36.0,1.0,2.0,1.0,0.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,480000000.0,66.0,36.0,1.0,2.0,1.0,1.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,545000000.0,83.0,36.0,1.0,2.0,1.0,0.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,545000000.0,83.0,36.0,1.0,2.0,1.0,0.0
Bojonggede,Kabupaten Bogor,-6.4960615,106.7947017,545000000.0,83.0,36.0,1.0,2.0,1.0,0.0
 Tajur Halang,Kabupaten Bogor,-6.473501499999999,106.7711638,545000000.0,83.0,36.0,1.0,2.0,1.0,0.0
 Tajur Halang,Kabupaten Bogor,-6.473501499999999,106.7711638,545000000.0,83.0,36.0,1.0,2.0,1.0,0.0
Ciampea,Kabupaten Bogor,-6.5549421,106.6961626,220000000.0,60.0,45.0,1.0,2.0,1.0,1.0
Cibinong,Kabupaten Bogor,-6.4901067,106.8306951,728900000.0,106.0,36.0,1.0,2.0,1.0,0.0
