Floors,Bedrooms,Bathrooms,Building_Size_M2,Land_Size_M2,Latitude,Longitude,Price,District,City,Carport/Garage
3.0,7.0,5.0,650.0,240.0,-6.2048089,106.8018225,19000000000.0,Pejompongan,Jakarta Pusat,2.0
2.0,4.0,4.0,531.0,758.0,-6.26899,106.806,26000000000.0,patra kuningan,Jakarta Selatan,2.0
2.0,3.0,3.0,338.0,231.0,-6.159817599999999,106.7853922,3800000000.0,Jelambar,Jakarta Barat,1.0
2.0,4.0,3.0,200.0,122.0,-6.2754,106.78206,7000000000.0,Pondok Indah,Jakarta Selatan,1.0
2.0,5.0,3.0,400.0,264.0,-6.20989,106.89872,2500000000.0,Cipinang,Jakarta Timur,3.0
3.0,3.0,4.0,165.0,55.0,-6.2481661,106.8262565,3900000000.0,Mampang Prapatan,Jakarta Selatan,0.0
2.0,3.0,3.0,168.0,125.0,-6.1970854,106.7382072,2900000000.0,Meruya,Jakarta Barat,1.0
2.0,5.0,4.0,550.0,508.0,0.0074957683468534,0.009927861392498,10500000000.0,Cilandak,Jakarta Selatan,2.0
2.0,3.0,3.0,300.0,175.0,-6.13716983795166,106.86524200439453,6950000000.0,Sunter,Jakarta Utara,0.0
3.0,4.0,3.0,220.0,75.0,-6.159817599999999,106.7853922,2650000000.0,Jelambar,Jakarta Barat,1.0
2.0,5.0,4.0,300.0,200.0,-6.1987086,106.741926,6300000000.0,Kembangan,Jakarta Barat,0.0
2.0,5.0,3.0,483.0,956.0,-6.16544,106.81446,82000000000.0,Hasyim Ashari,Jakarta Pusat,5.0
3.0,4.0,5.0,800.0,525.0,-6.113894200000001,106.7853922,25000000000.0,Pluit,Jakarta Utara,0.0
2.0,2.0,2.0,41.0,21.0,-6.15273,106.84269,497000000.0,Sawah Besar,Jakarta Pusat,0.0
2.0,2.0,2.0,34.0,20.0,-6.15369987487793,106.8360595703125,680000000.0,Gunung Sahari,Jakarta Pusat,0.0
2.0,3.0,2.0,80.0,65.0,-6.2826324,106.8552318,1340000000.0,Condet,Jakarta Timur,2.0
1.0,2.0,1.0,90.0,98.0,-6.308751699999999,106.8749344,550000000.0,Ciracas,Jakarta Timur,0.0
2.0,3.0,2.0,240.0,177.0,-6.277122299999999,106.7975781,6000000000.0,Cilandak,Jakarta Selatan,1.0
3.0,4.0,4.0,440.0,360.0,-6.1026441,106.7411622,25000000000.0,Pantai Indah Kapuk,Jakarta Utara,3.0
2.0,6.0,8.0,1050.0,1200.0,-6.2223652312597,106.78667259025,54000000000.0,Permata Hijau,Jakarta Selatan,5.0
2.0,3.0,3.0,140.0,120.0,-6.19665002822876,106.73185729980469,2600000000.0,Meruya,Jakarta Barat,2.0
2.0,3.0,2.0,115.0,90.0,-6.3360601,106.8256645,1540000000.0,Jagakarsa,Jakarta Selatan,1.0
2.0,5.0,4.0,600.0,520.0,-6.116632,106.7795128,13500000000.0,Muara Karang,Jakarta Utara,2.0
1.0,3.0,2.0,100.0,109.0,-6.26899,106.806,1800000000.0,Sektor 2 - Bintaro,Jakarta Selatan,1.0
2.0,14.0,12.0,450.0,413.0,-6.289610499999999,106.8399623,8000000000.0,Pasar Minggu,Jakarta Selatan,7.0
2.0,3.0,3.0,97.0,55.0,-6.18128,106.87535,2470000000.0,Cempaka Putih,Jakarta Pusat,1.0
2.0,3.0,3.0,101.0,51.0,-6.1868333,106.8665002,1880000000.0,Cempaka Putih,Jakarta Pusat,1.0
2.0,2.0,2.0,45.0,25.0,-6.1594869,106.8541776,540000000.0,Kemayoran,Jakarta Pusat,0.0
2.0,5.0,4.0,480.0,450.0,-6.2021846,106.7502816,12500000000.0,Intercon,Jakarta Barat,2.0
1.0,4.0,4.0,145.0,75.0,-6.17214,106.80272,2750000000.0,Tomang,Jakarta Barat,0.0
2.0,3.0,3.0,500.0,450.0,-6.206158,106.750001,9500000000.0,Intercon,Jakarta Barat,0.0
2.0,2.0,1.0,740.0,130.0,-6.1585001945495605,106.74700164794922,4500000000.0,Taman Ratu,Jakarta Barat,2.0
2.0,5.0,4.0,500.0,300.0,-6.1585001945495605,106.74700164794922,9500000000.0,Citra Garden,Jakarta Barat,0.0
2.0,4.0,4.0,1200.0,819.0,-6.1937297,106.8392111,85000000000.0,Menteng,Jakarta Pusat,6.0
2.0,3.0,3.0,92.0,53.0,-6.20435,106.8699,1600000000.0,Matraman,Jakarta Timur,1.0
2.0,2.0,2.0,42.0,24.0,-6.12912,106.83335,516000000.0,Ancol,Jakarta Utara,0.0
3.0,5.0,6.0,450.0,270.0,-6.2775326,106.7794935,17500000000.0,Pondok Indah,Jakarta Selatan,0.0
1.0,10.0,10.0,375.0,287.0,-6.2212429,106.8256669,14500000000.0,Kuningan,Jakarta Selatan,5.0
