District,City,Latitude,Longitude,Price,Land_Size_M2,Building_Size_M2,Floors,Bedrooms,Bathrooms,Carport/Garage
Kemang,Bogor,-6.4857872,106.7362028,795000000.0,60.0,60.0,2.0,2.0,2.0,1.0
Babakan Madang,Bogor,-6.5211331,106.8502879,2100000000.0,180.0,200.0,2.0,4.0,3.0,1.0
Ciampea,Bogor,-6.5549421,106.6961626,352000000.0,70.0,30.0,1.0,2.0,1.0,1.0
Gunung Putri,Bogor,-6.403049299999999,106.9299579,580000000.0,84.0,40.0,1.0,2.0,1.0,1.0
Babakan Madang,Bogor,-6.5211331,106.8502879,8500000000.0,483.0,500.0,3.0,6.0,5.0,1.0
Bogor Selatan,Bogor,-6.6323703,106.8075977,5500000000.0,600.0,448.0,2.0,4.0,3.0,0.0
Bogor Selatan,Bogor,-6.6323703,106.8075977,5500000000.0,600.0,450.0,2.0,4.0,3.0,0.0
Cileungsi,Bogor,-6.4004124,106.960981,975000000.0,163.0,90.0,1.0,2.0,1.0,1.0
Gunung Putri,Bogor,-6.4288646,106.9240554,700000000.0,71.0,140.0,2.0,4.0,1.0,1.0
Bogor Tengah,Bogor,-6.577631200000001,106.8153846,1500000000.0,84.0,110.0,2.0,3.0,2.0,1.0
Bogor Tengah,Bogor,-6.5767786,106.7996035,1500000000.0,84.0,110.0,2.0,3.0,2.0,1.0
Bogor Selatan,Bogor,-6.6323703,106.8075977,5500000000.0,600.0,450.0,2.0,4.0,3.0,0.0
Bogor Barat,Bogor,-6.563991,106.7633625,395000000.0,60.0,36.0,1.0,2.0,1.0,1.0
Cisarua,Bogor,-6.679948899999999,106.9322873,4000000000.0,1350.0,500.0,2.0,4.0,3.0,0.0
Cisarua,Bogor,-6.679948899999999,106.9322873,4500000000.0,3650.0,500.0,2.0,3.0,3.0,0.0
Bogor Tengah,Bogor,-6.5908139,106.7846549,1500000000.0,84.0,110.0,2.0,3.0,2.0,1.0
Bojong Gede,Bogor,-6.4960615,106.7947017,500000000.0,33.0,60.0,1.0,1.0,1.0,1.0
Tajur Halang,Bogor,-6.4807009,106.7554251,200000000.0,60.0,36.0,1.0,2.0,1.0,1.0
Dramaga,Bogor,-6.577668999999999,106.7319218,1750000000.0,91.0,154.0,2.0,10.0,10.0,1.0
Cibinong,Bogor,-6.4901067,106.8306951,980000000.0,105.0,78.0,2.0,3.0,2.0,2.0
Gunung Putri,Bogor,-6.4265479,106.917969,661000000.0,84.0,40.0,1.0,2.0,1.0,1.0
Bogor Selatan,Bogor,-6.6323703,106.8075977,3450000000.0,270.0,208.0,2.0,3.0,3.0,0.0
Gunung Putri,Bogor,-6.4265479,106.917969,580000000.0,70.0,36.0,1.0,2.0,1.0,1.0
Gunung Sindur,Bogor,-6.3847562,106.6804186,490000000.0,60.0,70.0,2.0,3.0,2.0,1.0
Parung Panjang,Bogor,-6.3681068,106.5533873,369000000.0,60.0,32.0,1.0,2.0,1.0,1.0
Bogor Barat,Bogor,-6.563991,106.7633625,4300000000.0,400.0,200.0,2.0,6.0,4.0,2.0
Gunung Putri,Bogor,-6.4288646,106.9240554,3000000000.0,170.0,240.0,2.0,4.0,4.0,2.0
Gunung Sindur,Bogor,-6.3847562,106.6804186,860000000.0,58.0,65.0,2.0,2.0,2.0,1.0
Gunung Putri,Bogor,-6.356087199999999,106.879792,589000000.0,70.0,36.0,1.0,2.0,1.0,1.0
