District,City,Latitude,Longitude,Price,Land_Size_M2,Building_Size_M2,Floors,Bedrooms,Bathrooms,Carport/Garage
Medan Satria,Bekasi,-6.1730925,106.9931081,750000000.0,120.0,90.0,1.0,3.0,1.0,1.0
Medan Satria,Bekasi,-6.1817524,106.9736839,1100000000.0,168.0,90.0,1.0,2.0,1.0,1.0
Medan Satria,Bekasi,-6.1863209,106.9806633,1750000000.0,168.0,135.0,1.0,4.0,2.0,1.0
Medan Satria,Bekasi,-6.1863209,106.9806633,1350000000.0,81.0,110.0,2.0,3.0,3.0,1.0
Serang Baru,Bekasi,-6.2391726,107.1010275,335000002.0,60.0,60.0,1.0,2.0,1.0,1.0
Bekasi Timur,Bekasi,-6.2719831,106.9872978,800000000.0,77.0,77.0,2.0,3.0,2.0,1.0
Bekasi Selatan,Bekasi,-6.2598431,106.9726004,950000001.0,72.0,67.0,2.0,3.0,2.0,1.0
Cikarang Barat,Bekasi,-6.3206029,107.088237,550000001.0,52.0,108.0,2.0,2.0,2.0,1.0
Bekasi Barat,Bekasi,-6.231262399999999,106.9598493,535000001.0,60.0,45.0,1.0,2.0,1.0,1.0
Bekasi Timur,Bekasi,-6.2491162,107.013564,550000009.0,53.0,103.0,1.0,2.0,2.0,1.0
Bekasi Timur,Bekasi,-6.303947,107.0268962,800000009.0,96.0,75.0,1.0,3.0,1.0,1.0
Bekasi Timur,Bekasi,-6.303947,107.0268962,735000009.0,128.0,95.0,1.0,3.0,2.0,1.0
Bekasi Timur,Bekasi,-6.2491162,107.013564,820000000.0,70.0,70.0,2.0,3.0,2.0,1.0
Bekasi Timur,Bekasi,-6.2491162,107.013564,465000009.0,60.0,45.0,1.0,2.0,1.0,1.0
Bekasi Timur,Bekasi,-6.2491162,107.013564,575000009.0,85.0,55.0,1.0,3.0,1.0,1.0
Tarumajaya,Bekasi,-6.1701124,107.0010583,425000000.0,72.0,93.0,1.0,4.0,2.0,1.0
Jatiasih,Bekasi,-6.3102117,106.9532337,860000000.0,86.0,60.0,1.0,3.0,1.0,2.0
Pondokgede,Bekasi,-6.2697026,106.9308294,1500000000.0,126.0,100.0,1.0,3.0,2.0,1.0
Tarumajaya,Bekasi,-6.116563999999999,106.993921,400000000.0,60.0,36.0,1.0,2.0,1.0,1.0
Medan Satria,Bekasi,-6.182764,106.9859426,585000000.0,60.0,50.0,1.0,2.0,1.0,1.0
Pondokgede,Bekasi,-6.2697026,106.9308294,900000000.0,74.0,70.0,2.0,3.0,2.0,1.0
Tambun Utara,Bekasi,-6.22417,107.0416681,925000000.0,113.0,160.0,2.0,5.0,2.0,1.0
Pondokgede,Bekasi,-6.2697026,106.9308294,880000000.0,77.0,77.0,2.0,3.0,2.0,1.0
